feature,importance,importance_pct
Customers,20412,16.2
Store,20367,16.164285714285715
CompetitionDistance,19092,15.152380952380954
months_since_competition_open,11713,9.296031746031746
Unnamed_0,8319,6.602380952380953
months_since_Promo2,7467,5.926190476190476
DayOfWeek,6436,5.1079365079365076
DayOfYear,6205,4.924603174603175
Day,5256,4.171428571428572
Promo,3713,2.946825396825397
StoreType,3657,2.9023809523809523
WeekOfYear,3413,2.708730158730159
Assortment,3259,2.5865079365079366
Promo2,1776,1.4095238095238094
Month,1367,1.084920634920635
is_competition_open_known,1142,0.9063492063492063
SchoolHoliday,1080,0.8571428571428572
StateHoliday,407,0.32301587301587303
Year,319,0.25317460317460316
is_Promo2_known,290,0.23015873015873015
IsMonthEnd,286,0.22698412698412698
IsMonthStart,24,0.01904761904761905
Open,0,0.0
