feature,importance,importance_pct
CompetitionDistance,7348.0,12.460742217971415
store_mean_sales,6783.2,11.502954084505133
Store,6173.2,10.468515767553232
store_dow_mean_sales,5646.8,9.57584637403933
Quarter,5359.4,9.08847330470822
months_since_competition_open,4123.8,6.993142182698765
DayOfWeek,3784.2,6.417248326244887
months_since_Promo2,3236.4,5.488288801611689
Promo_StoreType,2831.4,4.801489591176411
Promo_Assortment,1946.0,3.3000278111285217
yesterday_school_holiday,1714.8,2.9079587309985553
SchoolHoliday,1671.8,2.835039308656044
tomorrow_school_holiday,1629.6,2.7634765267292076
Promo_DayOfWeek,1157.2,1.9623803612733428
StoreType,938.0,1.590660887378496
Promo,830.6,1.408531911574178
Assortment,770.4,1.3064447202946623
is_school_holiday,547.8,0.9289595246331984
Promo2,535.4,0.9079315981902416
StateHoliday,472.4,0.801096165455865
IsWeekend,371.0,0.6291419927691065
is_competition_open_known,328.6,0.5572400507383516
yesterday_state_holiday,256.6,0.4351424133276355
tomorrow_state_holiday,227.0,0.3849467179476744
is_Promo2_known,164.2,0.27845044531721647
is_state_holiday,121.4,0.2058701830786241
Open,0.0,0.0
